Trial,Track Layout,Vehicle,ID,Speed,Lane,Battery Level,Average Velocity
30,oval,CHARGER,623596553,482,1,3948,60.62352073480372
1,oval,FREEHWEEL,1386762514,489,0,3998,52.85331911083431
1,oval,X52,-1986650099,517,3,0,61.35868946423577
2,oval,FREEHWEEL,1386762514,481,1,3918,59.62210306025338
2,oval,X52,-1986650099,493,3,3847,61.01587356247499
3,oval,FREEHWEEL,1386762514,482,1,3915,59.54289526555389
3,oval,X52,-1986650099,496,3,3842,61.612247910326005
4,oval,FREEHWEEL,1386762514,489,1,3913,59.59197439612277
4,oval,X52,-1986650099,491,3,3839,60.98826735408702
5,oval,FREEHWEEL,1386762514,488,1,3911,59.61177227835034
5,oval,X52,-1986650099,476,3,3837,61.43960358297893
6,oval,X52,-1986650099,517,3,3833,61.1799245535727
6,oval,FREEHWEEL,1386762514,516,1,3910,59.87222627527554
7,oval,X52,-1986650099,491,3,3834,61.23922443211882
7,oval,FREEHWEEL,1386762514,506,1,3909,59.812436120863296
8,oval,FREEHWEEL,1386762514,494,1,0,59.660417215305415
8,oval,X52,-1986650099,489,3,0,61.006622944795296
9,oval,X52,-1986650099,507,3,3828,61.307126093496095
9,oval,FREEHWEEL,1386762514,493,1,3902,59.20867853191676
10,oval,FREEHWEEL,1386762514,518,1,3898,59.84493333340928
10,oval,X52,-1986650099,486,3,3861,61.21419962590183
11,oval,X52,-1986650099,470,3,3882,61.12853314819588
11,oval,FREEHWEEL,1386762514,493,1,3898,59.395569315014804
12,oval,X52,-1986650099,478,3,3823,61.241613645257644
12,oval,FREEHWEEL,1386762514,492,1,3903,59.8748466344487
13,oval,FREEHWEEL,1386762514,491,1,3895,59.8064103738797
13,oval,X52,-1986650099,504,3,3819,61.14990219017274
14,oval,X52,-1986650099,516,3,3821,61.539040988816325
14,oval,FREEHWEEL,1386762514,490,1,0,59.769656080471506
15,oval,X52,-1986650099,496,3,3817,61.29620288308828
15,oval,FREEHWEEL,1386762514,493,1,3890,59.570944725909364
16,oval,X52,-1986650099,503,3,3825,61.30302109891507
16,oval,FREEHWEEL,1386762514,489,1,3889,59.57624671694284
17,oval,FREEHWEEL,1386762514,476,1,3893,59.49893635202842
17,oval,X52,-1986650099,489,3,3823,61.19302666570604
18,oval,FREEHWEEL,1386762514,535,1,3908,60.136491983904214
18,oval,X52,-1986650099,478,3,0,60.937932161128764
19,oval,X52,-1986650099,481,3,3817,61.09976281877746
19,oval,FREEHWEEL,1386762514,494,1,0,59.31644474017783
20,oval,FREEHWEEL,1386762514,515,1,3884,59.64189275773872
20,oval,X52,-1986650099,504,3,3847,61.2253405874951
21,oval,FREEHWEEL,1386762514,514,1,0,59.48943455671612
21,oval,X52,-1986650099,492,3,3807,61.19184014698023
22,oval,X52,-1986650099,482,3,3829,61.035585133131555
22,oval,FREEHWEEL,1386762514,499,1,0,59.79754884203394
23,oval,FREEHWEEL,1386762514,503,1,3873,59.54540955361083
23,oval,X52,-1986650099,472,3,0,61.15130420849425
24,oval,FREEHWEEL,1386762514,505,1,3881,60.0724224148075
24,oval,X52,-1986650099,491,3,3803,61.23470883556713
25,oval,X52,-1986650099,511,3,3799,61.04797295896809
25,oval,FREEHWEEL,1386762514,516,1,3871,59.404329578894874
26,oval,FREEHWEEL,1386762514,483,1,3867,59.540737097671595
26,oval,X52,-1986650099,482,3,3799,61.252700894712575
27,oval,FREEHWEEL,1386762514,494,1,3874,59.79617038403205
27,oval,X52,-1986650099,513,3,3797,61.2352759108914
28,oval,X52,-1986650099,475,3,3794,61.08314472769373
28,oval,FREEHWEEL,1386762514,505,1,0,59.41451681597205
29,oval,X52,-1986650099,495,3,3882,61.13266460110138
29,oval,FREEHWEEL,1386762514,498,1,3862,60.09336923274009
30,oval,X52,-1986650099,500,3,3791,61.01093462673113
30,oval,FREEHWEEL,1386762514,516,1,3862,59.68100361352602
1,oval,GROUNDSHOCK,726831624,268,1,3495,29.973355281614783
1,oval,GROUNDSHOCK,1370906631,239,3,3748,29.950372438833035
2,oval,GROUNDSHOCK,726831624,247,0,0,26.27004621013956
2,oval,GROUNDSHOCK,1370906631,259,3,3777,30.011765856397318
3,oval,GROUNDSHOCK,726831624,241,1,3483,29.979840832990327
3,oval,GROUNDSHOCK,1370906631,244,0,3742,26.26372392669453
4,oval,GROUNDSHOCK,726831624,254,1,0,30.68978464021357
4,oval,GROUNDSHOCK,1370906631,243,3,0,30.012577762324486
5,oval,GROUNDSHOCK,1370906631,242,0,3747,26.477554420605706
5,oval,GROUNDSHOCK,726831624,245,1,3487,29.8997986903721
6,oval,GROUNDSHOCK,726831624,251,1,3472,29.927889377343128
6,oval,GROUNDSHOCK,1370906631,234,3,3729,29.942750711181777
7,oval,GROUNDSHOCK,1370906631,247,3,3723,30.081805846141446
7,oval,GROUNDSHOCK,726831624,247,1,3472,29.342896423886422
8,oval,GROUNDSHOCK,1370906631,247,3,0,29.954531594886372
8,oval,GROUNDSHOCK,726831624,246,1,3467,30.012204791555867
9,oval,GROUNDSHOCK,1370906631,243,3,3721,30.159096099450153
9,oval,GROUNDSHOCK,726831624,250,1,3463,30.223094391320757
10,oval,GROUNDSHOCK,726831624,258,1,3456,29.925719232193707
10,oval,GROUNDSHOCK,1370906631,253,3,3716,29.97556488854399
11,oval,GROUNDSHOCK,1370906631,251,0,3713,26.274168455834253
11,oval,GROUNDSHOCK,726831624,243,1,3470,29.879729428264703
12,oval,GROUNDSHOCK,1370906631,236,3,3715,29.96715412941691
12,oval,GROUNDSHOCK,726831624,259,1,3450,30.42394710725721
13,oval,GROUNDSHOCK,726831624,251,1,3446,29.835196295985135
13,oval,GROUNDSHOCK,1370906631,251,3,3707,29.99176514634764
14,oval,GROUNDSHOCK,1370906631,252,3,3746,29.96838228380002
14,oval,GROUNDSHOCK,726831624,250,1,3460,29.96188609262016
15,oval,GROUNDSHOCK,1370906631,239,3,3712,30.002877994666754
15,oval,GROUNDSHOCK,726831624,252,1,3439,29.944025419422257
16,oval,GROUNDSHOCK,1370906631,266,3,3705,29.946200503782137
16,oval,GROUNDSHOCK,726831624,257,1,0,29.886900212405084
17,oval,GROUNDSHOCK,726831624,252,1,3464,30.173654193600875
17,oval,GROUNDSHOCK,1370906631,242,3,0,29.99513041672438
18,oval,GROUNDSHOCK,1370906631,253,3,3698,29.921149748403035
18,oval,GROUNDSHOCK,726831624,255,1,3504,29.954963511990854
19,oval,GROUNDSHOCK,726831624,244,1,3418,30.11777063641673
19,oval,GROUNDSHOCK,1370906631,256,3,3705,29.93215871074173
20,oval,GROUNDSHOCK,1370906631,250,3,0,29.955799761294145
20,oval,GROUNDSHOCK,726831624,251,1,3418,30.6246699806987
21,oval,GROUNDSHOCK,726831624,253,1,3407,29.3968375211725
21,oval,GROUNDSHOCK,1370906631,250,3,3701,29.9625111683787
22,oval,GROUNDSHOCK,726831624,245,1,3411,29.922682810554612
22,oval,GROUNDSHOCK,1370906631,243,3,3690,29.933104703349308
23,oval,GROUNDSHOCK,726831624,250,1,3427,30.79530549703121
23,oval,GROUNDSHOCK,1370906631,244,3,0,29.91211302042391
24,oval,GROUNDSHOCK,1370906631,260,3,3686,30.01968942848913
24,oval,GROUNDSHOCK,726831624,253,1,0,29.90914756781853
25,oval,GROUNDSHOCK,726831624,250,1,3387,29.94786535847436
25,oval,GROUNDSHOCK,1370906631,252,3,3684,29.958266933539914
26,oval,GROUNDSHOCK,1370906631,252,3,3686,29.99247970223334
26,oval,GROUNDSHOCK,726831624,254,1,3375,30.794651991279856
1,oval,MXT,-451518201,274,3,3792,30.145525148764342
1,oval,MXT,-1052728562,261,1,3763,29.91306566745174
2,oval,MXT,-451518201,259,3,3768,30.20540308996356
2,oval,MXT,-1052728562,239,1,3749,29.951676081018785
3,oval,MXT,-1052728562,234,0,3750,25.01143896236298
3,oval,MXT,-451518201,265,3,3769,30.2293544577198
4,oval,MXT,-1052728562,245,1,3737,30.075325864988326
4,oval,MXT,-451518201,257,3,3759,30.18773734345661
5,oval,MXT,-1052728562,254,1,3732,30.06256536708559
5,oval,MXT,-451518201,237,0,3753,26.25039641128557
6,oval,MXT,-1052728562,243,1,3792,30.324944691886696
